state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
Manipur,pulses,23.09,39.68,38.88,7.74,658.27,22.44,0.187,1.712
Kerala,coffee,50.55,42.59,40.04,5.54,1923.1,23.99,0.696,1.848
Karnataka,tomato,145.5,76.62,155.14,5.96,849.99,27,2.479,43.153
Jharkhand,coffee,52.87,21.93,65.14,5.79,1690.61,23.46,0.246,2.07
Sikkim,tomato,148.6,63.94,127.59,6.25,1241.12,27.04,2.649,50.958
Sikkim,potato,105.09,91.7,156.2,6,691.94,13.33,1.329,25.663
Tamil Nadu,potato,103.19,68.31,239.99,6.37,540.36,19.64,0.851,33.818
Tamil Nadu,tea,34.81,20.72,33.61,5.26,1883.9,18.37,0.784,2.503
Haryana,groundnut,48.46,22.19,42.44,5.88,951.86,23.26,0.194,1.876
Jharkhand,soybean,36.57,35.94,25.78,7.48,398.9,23.48,0.507,1.574
Nagaland,tomato,144.86,65.94,122.1,5.51,658.33,21.24,1.905,21.11
Tamil Nadu,mango,118.73,56.61,125.14,5.67,1344.53,31.18,0.613,18.166
Tripura,sugarcane,136.17,62.55,122.59,7.33,1340.68,27.25,2.21,104.632
Arunachal Pradesh,soybean,33.16,33.34,32.25,7.38,1004.14,21.53,0.676,1.73
Gujarat,mango,98.11,57.27,79.24,7.18,1132.3,27.97,1.042,14.512
Odisha,pulses,25.33,36.93,24.88,7.49,445,26.99,0.145,1.47
Andhra Pradesh,tomato,149.15,49.46,128.44,6.23,603.94,26.62,2.166,51.265
Tamil Nadu,wheat,62.39,44.61,29.37,7.11,462.23,17.04,0.576,4.343
Madhya Pradesh,soybean,20.04,30.81,24.31,6.94,646.64,23.65,0.116,2.905
Meghalaya,groundnut,30.78,32.74,50.55,6.5,659.45,27.89,0.241,2.468
Arunachal Pradesh,wheat,85.16,43.65,29.95,7.57,618.22,11.71,0.498,2.944
Kerala,groundnut,42.76,38.62,55.89,7.44,892.62,24.49,0.417,2.677
Himachal Pradesh,mango,115.48,43.78,142.85,7.4,800.26,33.49,0.262,16.973
Telangana,wheat,96.65,30.31,29.9,6.19,475.13,22.66,0.902,3.873
Madhya Pradesh,coffee,38.22,32.92,54.3,5.89,2224.78,18.7,0.854,1.142
Tamil Nadu,pulses,12.89,29.79,23.7,7.13,533.01,23.5,0.074,1.204
Mizoram,tea,47.4,27.97,56.4,5.21,2456.33,15.51,0.306,2.447
Punjab,maize,83.81,45.92,37.88,6.45,913.25,28.29,0.702,2.585
Chhattisgarh,rice,94.34,53.37,46.56,6.08,1852.08,29.09,1.533,4.779
Assam,pulses,18.22,25.66,12.93,7.56,850.32,18.68,0.034,1.091
Chhattisgarh,cotton,69.34,37.41,63.9,7.16,504.78,27.66,1.808,1.45
Uttar Pradesh,banana,188.03,94.41,256.27,5.85,2162.39,21.69,1.091,48.872
Goa,wheat,83.54,57.19,27.37,7.14,751.85,20.13,0.964,2.532
Nagaland,wheat,95.95,36.04,27.78,6.78,609.1,12.71,0.645,4.023
Kerala,sugarcane,145.55,86.29,124.69,7.03,1000.5,26.42,1.974,83.311
Odisha,wheat,77.49,50.42,27.32,7.24,630.55,20.93,0.352,2.713
Himachal Pradesh,groundnut,26,22.25,62.07,6.61,552.88,33.22,0.455,2.813
Uttar Pradesh,cotton,61.48,55.7,96.33,7.16,637.73,26.63,0.981,1.675
Rajasthan,wheat,84.13,53.69,23.53,6.32,545.38,15.18,0.568,2.18
Arunachal Pradesh,maize,63.95,39.25,28.25,6.28,445.39,20.5,0.33,4.523
Chhattisgarh,coffee,62.03,46.86,33.97,5.84,1935.24,25.66,0.876,2.19
Tripura,potato,157.82,51.96,172.26,6.33,979.35,21.41,1.966,14.128
Assam,maize,77.15,35.21,49.69,6.03,451.96,27.59,0.294,3.736
Odisha,potato,111.58,55.07,183.82,6.42,1065.97,22.86,0.921,24.41
Bihar,groundnut,45.8,36.48,74.13,6.09,602.96,31.65,0.695,1.197
Karnataka,tomato,129.79,51.61,144.36,5.96,523.93,27.18,3.334,43.39
Goa,mango,54.85,50.01,58.04,6.05,887.92,26.83,0.709,16.312
Haryana,millet,31.51,26.53,12.77,7.24,364.64,31.35,0.353,1.427
Nagaland,mango,50.07,38.13,90.69,6.94,833.82,28.45,0.537,18.543
Kerala,soybean,45.63,52.62,43.48,6.09,1021.91,25.43,0.429,3.131
Haryana,groundnut,35.16,38.21,51.36,7.28,778.22,23.87,0.473,2.707
Rajasthan,wheat,70.38,45.77,41.82,7.99,524.46,24.16,0.452,2.445
Jharkhand,potato,134.11,69.71,117.17,5.34,1449.54,10.39,0.734,25.74
Sikkim,maize,85.01,25.7,29.02,7.43,736.89,27.46,0.642,4.302
Sikkim,pulses,36.38,44.34,33.27,7.39,421.94,27.61,0.095,1.053
Assam,maize,66.97,21.35,39.95,5.69,455.2,28.24,0.676,4.769
Kerala,soybean,24.41,48.22,22.77,6.55,472.43,25.71,0.186,1.136
Sikkim,sugarcane,156.7,86.41,122.78,6.3,1675.42,25.63,0.918,112.856
Haryana,pulses,20.69,48.97,37.08,6.79,438.39,26.79,0.231,0.755
Tamil Nadu,maize,67.14,40.84,26.67,7.1,426.65,21.13,0.276,3.723
Manipur,millet,34.96,22.68,31.95,7.43,464.43,27.65,0.244,1.256
Odisha,soybean,27.03,42.57,26.48,6.81,553.28,28.1,0.314,1.403
Haryana,cotton,97.94,36.48,77.18,7.36,744.74,33.12,2.373,1.364
Karnataka,pulses,39.52,26.96,38.32,7.77,544.34,28.09,0.131,1.26
Uttar Pradesh,cotton,68.35,34.09,66.75,6.91,589.06,28.02,2.026,0.727
Telangana,pulses,31.07,36.29,23.45,7.55,404.09,30.7,0.118,1.177
Chhattisgarh,mango,81.81,30,65.46,5.62,969.13,28.08,0.513,24.062
Tamil Nadu,millet,20.98,10.23,23.93,7.71,584.37,25.64,0.224,2.982
West Bengal,wheat,84.47,52.42,35.75,6.87,493.07,10.41,0.713,4.607
Himachal Pradesh,banana,165.94,78.21,201.87,6.73,1617.23,23.94,1.03,45.908
Goa,sugarcane,146.37,63.15,91.85,7.16,1241.3,30.07,2.661,59.258
Meghalaya,maize,62.37,48.15,33.76,7.05,730.72,29.1,0.12,5.905
Tamil Nadu,groundnut,33.65,33.03,58.56,6.2,509.03,23.49,0.179,2.248
Manipur,banana,216.7,40.81,238.38,5.92,1495.13,29.72,0.61,58.468
Maharashtra,tomato,126.65,44,94.14,6.45,1283.02,26.93,1.605,24.5
Mizoram,cotton,66.53,53.34,59.01,7.22,394.51,25.64,1.68,1.177
Maharashtra,cotton,66.74,53.76,70.84,6.82,918.83,35.26,0.727,2.003
Andhra Pradesh,pulses,31.07,21.68,34.19,7.11,741.06,21.15,0.089,1.059
Manipur,pulses,28.11,23.47,29.2,7.74,440.58,24.23,0.209,0.874
Nagaland,coffee,69.18,26.27,49.09,6.24,2447.29,23.09,0.815,1.765
Assam,tea,30.21,34.44,44.83,5.14,3525.27,21.99,0.528,4.047
Chhattisgarh,soybean,20.19,53.06,39.84,7.49,890.31,28.49,0.189,2.615
Tamil Nadu,maize,74.34,26.09,26.62,7.01,756.13,20.94,0.209,3.209
Rajasthan,maize,80.5,41.16,24.68,6.51,429.26,19.88,0.688,2.555
Tripura,potato,124.05,62.4,234.78,5.44,958.9,22.54,0.464,15.206
Punjab,maize,78,48.52,32.18,7.5,726.62,23.18,0.153,3.114
Meghalaya,maize,56.54,41.71,20.52,6.17,638.47,23.82,0.339,3.223
Maharashtra,wheat,67.25,44.95,26.8,6.06,738.41,22.57,0.593,2.536
Nagaland,cotton,79.65,51.71,70.89,7.97,865.39,31.95,1.408,1.379
Chhattisgarh,cotton,91.13,54.99,86.81,6.4,846.05,28.06,2.269,2.167
Jharkhand,coffee,66.02,42.25,60.82,6.4,2496.17,23.27,0.959,1.62
Manipur,soybean,54.47,54.35,20.47,7.36,560.42,25,0.672,0.899
Odisha,mango,82.17,47.65,96.67,5.7,869.84,27.18,0.445,11.294
Mizoram,banana,213.33,83.69,388.66,5.93,1232.58,22.54,0.996,30.053
Haryana,tomato,148.06,55.06,132.29,5.61,1447.45,26.26,1.044,53.62
Goa,banana,168.33,89.3,240.27,5.66,1752.02,23.97,1.85,46.501
Himachal Pradesh,mango,66.69,53.3,101.41,6.57,851.09,27.66,0.944,17.077
Gujarat,groundnut,43.68,31.82,49.62,7.17,549.56,28.97,0.447,1.715
Chhattisgarh,banana,244.33,58.36,367.41,5.51,1942.15,22.67,0.867,52.943
Odisha,tea,43.22,24.9,42.5,5.23,2267.8,15.99,0.594,3.033
Madhya Pradesh,rice,100.09,41.53,59.25,6,1290.58,30.3,0.582,5.147
Rajasthan,potato,157.96,92.91,132.07,6.48,1182.48,11.59,0.408,45.475
Bihar,banana,217.35,78.47,308.83,5.97,1355.01,25.3,0.792,53.707
Assam,rice,83.23,31.89,30.43,6.31,1499.8,22.73,1.024,3.145
Rajasthan,tomato,140.7,71.03,85.26,5.95,753.72,18.73,2.233,42.906
Haryana,cotton,79.95,43.52,79.75,6.79,679.79,28.49,2.314,1.896
Karnataka,potato,147.82,82.38,148.76,6.36,904.3,14.84,1.498,33.071
Gujarat,maize,84.41,33.83,20.84,6.16,602.41,20.84,0.813,4.085
Karnataka,banana,248.17,77.98,323.8,6.84,1345.22,22.17,1.118,51.24
Chhattisgarh,soybean,59.61,39.65,49.84,7.37,840.59,28.96,0.24,1.204
Gujarat,pulses,16.57,31.92,10.08,7.9,431.83,29.76,0.108,1.295
Assam,pulses,21.9,33.57,12.9,7.69,653.77,27.58,0.176,1.286
Mizoram,millet,46.86,13.57,31.27,7.54,529.93,32.71,0.409,2.39
Odisha,soybean,36.89,41.73,36.12,7.2,593.1,21.65,0.32,1.611
Maharashtra,potato,183.85,77.41,235.39,5.89,933.92,16.85,0.321,14.462
Himachal Pradesh,maize,69.17,30.51,27.49,7.49,526.85,32.06,0.179,2.918
Goa,tomato,159.19,44.21,81.74,5.97,969.78,22.39,2.681,61.788
Rajasthan,maize,83.95,21.42,23.54,5.91,446.76,22.82,0.561,3.613
Haryana,maize,78.76,46.15,35.43,7.23,736,24.83,0.581,4.592
Gujarat,rice,92.2,54.17,46.7,5.5,1143.36,31.17,1.096,4.645
Rajasthan,coffee,34.89,25.45,30.02,6.15,1239.23,23.43,0.811,1.142
Sikkim,mango,81.33,30.09,133.05,7.34,791.51,27.92,0.443,20.336
Nagaland,millet,30.63,26.37,12.9,6.15,252.2,33.76,0.266,0.966
Sikkim,coffee,43.94,43.62,53.2,5.85,1933.46,18.74,0.762,0.742
Nagaland,banana,175.9,62.04,308.37,5.71,2069.8,31.52,1.737,35.92
Andhra Pradesh,tomato,124.7,55.73,103.57,5.71,726.33,25.81,1.307,26.739
Chhattisgarh,banana,168.31,85.51,345.2,6.99,1862.65,27.75,1.352,63.993
Rajasthan,banana,234.96,51.28,220.73,6.33,2392.86,23.37,2.053,58.815
Sikkim,pulses,20.51,34.13,19.31,6.12,694.29,23.98,0.041,1.534
Gujarat,groundnut,45.44,38.13,46.68,7.01,478.49,33.68,0.273,1.889
Bihar,mango,54.48,49.23,125.61,5.94,1251.42,34.69,0.662,23.592
Uttar Pradesh,tomato,141.7,46.79,99.18,6.78,705.71,26.59,1.509,52.387
Telangana,tea,56.16,36.68,51.39,4.68,1731.87,15.95,0.561,2.38
Telangana,mango,118.97,37.88,79.25,6.58,746.56,24.37,0.711,13.293
Kerala,mango,77.93,40.33,86.16,6.81,892.29,23.18,0.584,16.35
Punjab,wheat,91.65,43.65,20.01,7.52,599.92,11.58,0.203,2.772
West Bengal,rice,86.63,48.66,50.43,6.78,1402.69,28.06,0.864,6.37
Rajasthan,pulses,35.76,46.45,32.07,7.85,585.42,26.05,0.033,1.065
Mizoram,sugarcane,136.85,50.79,128.07,7.01,1522.91,29.51,0.984,74.685
Himachal Pradesh,sugarcane,168.14,65.37,132.28,6.9,1261.56,25.12,1.505,80.932
Mizoram,maize,73.54,49.37,42.31,6.44,679.78,26.16,0.644,4.661
Odisha,tomato,146.6,57.95,152.88,6.11,1382.5,25.11,2.73,61.212
Karnataka,cotton,64.83,55.55,93.91,6.75,726.2,27.64,1.177,1.961
Andhra Pradesh,potato,165.03,42.03,243.85,6.14,991.29,25.37,0.853,18.744
Uttarakhand,cotton,61.74,36.44,86.71,7.88,360.67,29.25,1.95,0.896
Andhra Pradesh,millet,27.09,13.72,33.8,7.19,485.22,27.76,0.11,2.416
Bihar,coffee,33.26,25.53,69.73,5.8,1555.04,21.82,0.735,2.133
Manipur,tea,53.31,28.07,31.39,4.82,1633.24,19.84,0.896,2.365
Uttarakhand,coffee,68.61,38.76,44,5.58,1762.72,26.41,0.768,2.569
Himachal Pradesh,mango,81.81,48.56,74.9,6.03,1765.02,33.83,0.658,27.584
Jharkhand,banana,189.32,59.79,243.24,6.46,1801.52,24.57,1.76,29.254
Rajasthan,pulses,38.49,48.01,16.97,7.19,280.54,23.44,0.031,1.016
Jharkhand,rice,78.02,44.99,37.77,5.41,1346.4,32.76,1.829,5.931
Rajasthan,tomato,124.59,56.33,112.26,6.3,1306.59,20.71,0.662,29.349
Rajasthan,millet,27.87,23.46,26.22,7.26,527.82,29.68,0.137,2.178
Himachal Pradesh,tomato,129.97,69.76,153.42,6.28,801.58,20.07,0.957,28.267
Mizoram,tomato,140.74,52.57,130.8,6.41,788.27,24.35,1.749,60.994
Telangana,sugarcane,167.53,89.53,135.29,6.31,1213.92,28.25,2.458,61.667
Bihar,tea,39.36,22.48,52.88,5.51,2609.62,24.51,0.708,2.176
Tamil Nadu,rice,83.32,41.09,47.9,6.01,1407.35,24.91,0.856,3.996
Arunachal Pradesh,mango,61.37,31.65,146.03,7.04,951.47,27.84,0.588,10.77
Meghalaya,pulses,18.08,27.16,27.99,7.62,396.28,25.43,0.19,0.711
Manipur,mango,61.72,44.96,108.55,5.56,1356.78,31.36,0.486,22.173
Himachal Pradesh,cotton,67.07,32.14,81.86,7.6,411.54,27.2,1.692,0.953
Haryana,cotton,73.5,53.83,63.19,7.71,534.99,26.5,1.826,1.668
Sikkim,soybean,27.88,59.59,35.27,7.31,429.57,20.91,0.44,2.139
Assam,rice,87.88,32.96,40.3,6.69,1180.64,26.43,1.047,5.629
Arunachal Pradesh,maize,59.03,32.38,42.14,7.47,394.05,32.02,0.63,3.856
Gujarat,tomato,111.76,74.71,87.58,6.49,1227.04,24.93,2.76,44.18
Goa,pulses,19.26,26.35,12.66,7.02,581.38,21.53,0.069,0.86
Goa,sugarcane,175.21,70.81,127.24,7.33,851.03,30.03,0.988,73.244
Gujarat,cotton,64.52,47.84,94.07,7.61,592.01,25.16,1.891,1.936
Madhya Pradesh,sugarcane,127.38,73.98,129.27,6.42,1026.08,24.15,1.216,58.902
Kerala,mango,104.65,44.88,106.75,5.71,1259.44,31.46,0.954,12.062
Himachal Pradesh,groundnut,44.14,32.37,43.55,7.11,647.72,26.75,0.704,1.475
West Bengal,groundnut,44.74,24.45,57.52,6.66,871.32,30.76,0.161,2.39
Sikkim,wheat,71.27,44.86,22.56,6,297.19,22.33,0.295,2.625
Tamil Nadu,maize,67.65,20.43,49.96,6.44,550.83,24.65,0.822,5.673
Mizoram,mango,109.3,36.51,73.49,7.1,853.52,34.38,0.701,10.534
Odisha,pulses,18.26,27.76,27.18,6.18,712.23,23.59,0.202,0.919
Mizoram,tea,48.97,26.57,50.72,4.86,2774.02,21.38,0.375,3.397
Uttar Pradesh,rice,106.49,40.93,32.22,5.38,1048.15,31.38,0.446,5.189
Kerala,wheat,64.88,48.81,26.88,7.03,594.3,22.86,0.242,4.475
Mizoram,pulses,13.29,45.74,17.91,6.14,600.48,24.91,0.174,1.729
Karnataka,banana,232.5,99.03,393.49,6.76,1820.63,25.79,0.569,45.789
Himachal Pradesh,banana,178.48,75.24,268.74,6.45,2101.5,23.34,1.067,30.359
Jharkhand,cotton,97.66,34.31,87.37,7.26,389.77,29.69,1.88,1.219
Karnataka,mango,64.35,30.77,98.32,7.27,866.86,21.94,0.34,21.798
West Bengal,groundnut,35.24,33.56,79.61,5.99,852.31,21.17,0.126,1.206
Tamil Nadu,wheat,75.38,48.4,49.92,6.95,544.87,11.19,0.594,3.259
Arunachal Pradesh,rice,95.32,42.18,35.4,5.79,1297.56,32.69,1.804,5.216
Punjab,potato,127.28,96.81,226.97,6.02,464.79,21.61,0.939,27.189
Gujarat,maize,54.04,21.9,34.41,7.05,589.68,25.64,0.401,3.945
Chhattisgarh,groundnut,26.06,36.72,46.67,6.49,831.28,24.01,0.491,1.325
Meghalaya,cotton,67.12,44.47,97.62,6.82,509.34,30.17,0.827,1.236
Bihar,cotton,75.49,52.72,95.28,6.84,694.78,28.38,0.58,1.517
Tamil Nadu,sugarcane,133.41,62.14,110.48,7.02,1636.83,28.56,1.424,84.156
Goa,millet,37.01,28.08,10.76,6.63,523.58,29.47,0.104,2.753
Odisha,cotton,68.02,47.98,51.36,6.36,717.08,26.65,2.238,0.801
Kerala,wheat,73.24,55.51,32.62,7.95,348.48,21.51,0.514,2.442
Punjab,cotton,77.69,46.58,83.21,7.84,931.78,34.8,2.027,2.002
Arunachal Pradesh,potato,154.37,92.28,195.58,5.27,1010.94,21.43,0.556,26.762
Jharkhand,tea,33.22,34.38,41.45,5.48,1659.78,14.97,0.294,1.687
Punjab,pulses,34.02,47.61,30.75,7.07,327.59,26.62,0.125,1.288
Odisha,sugarcane,142.52,74.57,112.28,7.2,1767.24,27.6,2.741,68.483
Manipur,coffee,38.66,46.71,49.36,6.43,2469.02,22.15,0.573,2.198
Tripura,wheat,73.35,46.53,35.83,7.7,374.37,20.52,0.231,2.046
Odisha,banana,238.65,89.77,352.01,5.73,1648.82,28.31,2.1,31.377
Haryana,sugarcane,147.24,64.65,111.35,7.22,1777.94,23.9,2.901,92.382
Arunachal Pradesh,cotton,82.27,40.27,53.53,6.99,656.2,31.34,1.622,0.821
Sikkim,wheat,60.95,55.39,22.75,7.6,587.67,20.26,0.846,3.1
Tripura,coffee,44.96,43.02,66.81,6.13,2231.43,19.46,0.536,1.402
Chhattisgarh,groundnut,47.09,38.17,61.49,6.3,617.42,26.02,0.276,3.018
Bihar,sugarcane,153.38,54.08,129.61,6.19,1115.49,21.92,1.717,98.576
Telangana,tea,52.95,33.18,36.01,4.84,1975.82,15.14,0.74,3.352
Himachal Pradesh,wheat,74.46,47.73,35.44,7.15,461.75,11.94,0.663,4.803
Arunachal Pradesh,soybean,37.2,49.54,41.82,6.51,893.22,26.33,0.408,2.316
Meghalaya,groundnut,32.69,35.36,75.87,5.78,921.68,34.96,0.397,3.032
Uttarakhand,sugarcane,147.22,60.96,130.55,7.17,1216.9,21.72,1.191,55.651
Himachal Pradesh,potato,100.08,51.48,150.65,5.04,603.08,15.64,1.309,21.388
Punjab,potato,186.51,44.39,145.85,5.89,960.33,12.47,1.121,18.913
Goa,pulses,16.59,28.98,23.57,7.18,496.58,21.18,0.169,1.311
Karnataka,coffee,48.75,48.64,39.92,5.79,1411.31,26.34,0.724,1.123
Tripura,potato,142.85,40.46,149.56,6.44,877.74,18.12,1.322,32.754
Uttar Pradesh,millet,35.74,13.34,30.5,6.82,465.25,33.59,0.263,1.21
Arunachal Pradesh,tea,59.96,21.67,51.4,4.87,2734.01,17.86,0.845,2.981
Assam,banana,164.03,74.19,346.61,6.9,2038.18,29.5,0.976,39.048
Kerala,groundnut,28.9,23.78,64.47,6.97,756.09,30.29,0.44,1.198
Chhattisgarh,banana,225.98,70.61,320.55,6.37,1338.91,27.5,0.552,28.531
Nagaland,cotton,92.77,31.08,76.61,7.91,486.06,29.48,2.228,0.742
Goa,millet,48.36,19.13,13.15,6.23,330.1,26.56,0.266,1.087
West Bengal,tomato,153.4,56.05,101.93,6.25,1500.73,21.07,3.071,47.094
Uttarakhand,millet,29.85,11.15,35.54,6.69,350.27,27.64,0.337,2.292
Uttar Pradesh,banana,206.37,83.78,381.97,5.76,1874.31,29.51,0.695,42.273
Uttarakhand,cotton,62.96,33.34,78.12,7.15,400.31,29.8,2.648,0.769
Andhra Pradesh,tea,30.91,34.89,45.39,5.41,1768.85,22.45,0.534,1.786
Bihar,wheat,87.62,57.42,28.61,6.88,278.47,20.51,0.211,2.568
Gujarat,tomato,122.2,75.81,104.25,6.68,638.82,22.04,1.264,23.96
Arunachal Pradesh,banana,174.38,75.71,247.79,6.87,1632.72,20.93,1.274,24.466
Goa,potato,112.35,78.14,116.36,5.63,1312.09,12.58,1.473,47.497
Odisha,maize,56.46,42.03,21.51,6.54,897.59,23.34,0.354,3.263
Manipur,tomato,91.25,53.84,153.55,5.72,1130.14,29.01,3.044,54.117
Goa,potato,172.89,63.95,121.82,6.13,677.36,14.69,0.466,19.039
Chhattisgarh,maize,53.25,24.5,41.2,6.3,622.76,31.12,0.669,5.401
Tamil Nadu,wheat,70.67,58.73,23.49,7.15,412.65,19.28,0.822,3.954
Gujarat,banana,210.06,88.17,371.08,6.14,2726.43,24.24,2.243,43.165
Andhra Pradesh,groundnut,40.16,35.59,77.43,6.42,1078.78,23.81,0.3,1.982
Uttarakhand,tomato,110.52,61.32,93.84,6.7,883.56,30.05,2.936,24.107
Jharkhand,millet,24.66,23.3,15.68,7.93,299.9,25.99,0.177,1.581
Maharashtra,wheat,95.15,52.57,33.37,6.17,370.76,14.61,0.329,2.31
Mizoram,soybean,29.17,54.6,45.13,6.33,627.62,27.27,0.369,1.452
Meghalaya,groundnut,49.89,30.41,77.47,7.09,640.63,30.9,0.317,2.874
West Bengal,coffee,62.17,28.12,33.94,5.65,2807.42,21.2,0.49,1.131
Haryana,maize,64.93,30.49,44.52,6.18,488.49,19.38,0.143,1.929
Himachal Pradesh,tomato,91.08,71.98,140.43,6.58,1084.66,19.43,1.866,34.935
Andhra Pradesh,wheat,99.96,30.77,38.55,7.65,531.77,20.3,0.936,2.655
Chhattisgarh,cotton,60.75,41.63,40.24,7.53,618.87,30.77,0.844,1.514
Manipur,rice,75.14,54.52,38.74,5.76,1656.84,30.39,0.426,4.644
Kerala,tomato,115.17,52.04,123.41,5.53,986.96,21.3,2.891,51.681
Uttarakhand,soybean,34.08,45.87,41.86,7.37,464.37,30.28,0.441,1.11
Manipur,millet,32.93,25.83,10.3,6.83,333.68,26.17,0.212,1.029
Haryana,maize,57.06,23.29,28.5,6.39,790.62,19.97,0.635,6.077
Goa,millet,24.81,14.19,12.24,6.57,242.43,32.56,0.294,0.874
Meghalaya,millet,29.86,26.5,28.16,6.14,560.65,30.15,0.327,1.202
Chhattisgarh,potato,106.44,57.73,241.88,5.84,805.47,24,1.096,19.227
Andhra Pradesh,banana,208.92,95.68,392.22,6.14,2208.25,31.76,1.986,59.602
Mizoram,tomato,144.67,58.15,159.63,6.39,786.13,24.54,1.631,38.746
Manipur,pulses,15,26.49,26.8,6.22,279.32,19.12,0.095,0.626
Nagaland,pulses,17.7,32.88,27.1,6.97,860.06,29.45,0.128,1.039
Nagaland,coffee,68.42,42.14,58.43,6.27,2950.09,26.31,0.713,1.763
Kerala,wheat,61.03,40.75,36.58,6.96,763.45,22.63,0.942,4.163
Punjab,cotton,96.57,52.02,71.58,7.53,805.67,29.79,0.811,1.228
West Bengal,tea,52.66,32.26,32.48,5.58,1967.22,16.75,0.626,2.644
Goa,banana,249.21,62.22,366.99,5.67,2103.95,27.21,1.928,76.142
Kerala,rice,109.38,52.6,38.75,5.02,953.43,23.84,1.086,4.324
Gujarat,soybean,44.7,55.27,28.74,7.23,458.61,21.56,0.403,1.757
Sikkim,coffee,32.26,26.03,50.88,6.2,1768.47,23.73,0.372,1.308
Rajasthan,millet,35.54,29.74,31.31,7.57,494.4,30.54,0.122,2.212
West Bengal,maize,80.15,23.67,24.58,5.59,797.24,23.89,0.491,6.093
Manipur,banana,156.53,82.99,390.15,5.76,1198.82,25.46,1.775,17.39
Jharkhand,tomato,109.45,50.64,90.78,6.26,999.46,27.81,1.318,52.981
Himachal Pradesh,sugarcane,135.13,77.79,109.94,6.3,1305.83,27.22,2.728,96.027
Maharashtra,mango,60.01,41.61,66.41,5.94,690.51,26.3,0.733,17.049
Sikkim,rice,74.29,53.79,56.18,5.73,832.89,23.65,0.4,4.029
Karnataka,rice,104.34,57.15,56.83,6.75,868.43,31.91,0.64,3.747
Meghalaya,tea,39.65,39.17,52.68,4.95,2292.65,17.89,0.745,4.03
Meghalaya,sugarcane,164.84,76.45,107.37,6.57,1827.06,27.53,1.358,75.612
Punjab,sugarcane,171.57,60.6,108.34,6.77,1328.68,20.04,2.647,75.358
Uttar Pradesh,wheat,62.16,45.01,48.66,7.97,335.14,11.6,0.884,2.854
Himachal Pradesh,mango,91.79,27.94,86.07,6.51,1390.2,27.73,0.296,16.385
Tamil Nadu,tomato,82.7,64.22,122.31,5.63,1018.67,20.39,3.013,47.582
Rajasthan,tomato,101.43,77.01,102.57,6.65,709.82,18,3.166,40.694
Odisha,tea,44.05,31.35,55.79,5.51,4114.4,24.79,0.729,4.183
Karnataka,potato,163.59,60.22,213.63,5.38,1531.22,20.41,1.034,25.967
Arunachal Pradesh,rice,99.88,45.03,51.53,6.87,1819.06,25.9,1.866,4.037
Haryana,millet,22.27,18.43,25.07,6.17,381.11,28.19,0.233,0.93
Punjab,coffee,61.11,42.93,44.56,5.52,1931.26,19.31,1.229,1.359
Madhya Pradesh,soybean,51.79,52.38,36.6,7.27,857.05,23.07,0.596,1.228
Manipur,millet,46.17,16.4,11.16,7.27,468.79,29.04,0.171,2.325
Uttarakhand,banana,194.16,84.14,380.53,6,1695.06,31.55,1.923,57.162
Bihar,sugarcane,138.74,73.13,81.86,7.35,1081.42,27.33,1.902,58.527
Karnataka,millet,41.6,23.08,15.16,7.89,274.2,31.62,0.18,1.387
Gujarat,tea,31.74,21.5,45.22,5.82,2319.78,18.99,0.494,3.427
Assam,maize,84.89,31.34,39.76,6.93,757.51,28.38,0.675,3.954
Himachal Pradesh,groundnut,39.86,23.38,56.17,7.11,868.76,31.91,0.318,3.195
Nagaland,soybean,21.91,42.43,49.05,6.31,668.06,21.03,0.409,2.58
Meghalaya,soybean,38.11,47.43,37.94,6.44,760.44,24.19,0.529,1.048
Punjab,coffee,49.25,48.37,63.17,6.04,2401.59,26.1,0.639,1.666
Goa,sugarcane,131.49,79.21,108.32,6.59,1489.3,30.05,2.049,74.473
Kerala,tea,38,26.69,35.63,4.9,1613.63,21.55,0.217,1.731
Karnataka,maize,87.52,36.97,26.14,5.82,807.01,32.43,0.218,4.54
Himachal Pradesh,groundnut,28.39,33.29,40.77,6.35,470.41,33.72,0.367,1.588
Punjab,millet,37.88,11.51,15.42,6.4,521.26,34.25,0.162,1.988
Gujarat,banana,239.81,95.07,231.58,6.94,1353.69,32.17,0.862,38.631
Manipur,soybean,56.41,55.67,26.48,6.03,527.64,30.36,0.214,1.016
Telangana,rice,74.64,51.11,30.25,6.54,779.98,24.84,1.107,5.128
Mizoram,millet,44.78,17.12,15.63,6.45,528.65,32.86,0.309,1.14
Manipur,coffee,39.43,46.22,63.89,6.27,1452.39,20.98,0.327,1.435
Maharashtra,soybean,52.55,54.27,26.52,6.67,574.53,28.22,0.423,1.365
Himachal Pradesh,potato,183.72,61.49,120.98,5.28,756.15,22.24,0.592,21.632
Telangana,wheat,62.33,37.06,48.98,6.83,396.48,23.09,0.433,1.751
Jharkhand,tomato,127.52,55.68,96.41,5.89,1133.26,27.66,0.7,82.375
Tripura,tomato,95.07,47.83,108.87,6.24,1358.65,21.79,1.71,39.987
Manipur,soybean,41.94,59.18,46.76,6.97,518.51,20.69,0.305,1.634
Rajasthan,soybean,48.85,35.67,49.92,6.2,761.34,20.58,0.243,2.755
Telangana,tomato,151.32,43.88,96.67,6.75,1356.63,27.52,1.088,42.256
